sq_mt_built,n_rooms,n_bathrooms,has_lift,has_parking,is_exterior,floor,energy_certificate,neighborhood,house_type,rent_price,buy_price
70,3,1,False,False,True,3,unknown,San Andrés,flat,561,104840
56,3,1,True,False,True,1,unknown,Los Rosales,flat,561,105000
100,4,1,True,False,True,1,good,Los Ángeles,flat,798,165000
125,4,2,True,False,True,other,unknown,Los Ángeles,flat,827,173000
54,3,1,False,False,True,0,unknown,Los Ángeles,flat,257,71000
130,4,2,True,False,True,2,unknown,San Cristóbal,flat,809,168000
68,2,1,False,False,True,other,unknown,Los Ángeles,flat,539,99900
85,3,1,False,False,True,3,unknown,San Andrés,flat,658,128000
75,3,1,False,False,True,3,unknown,San Andrés,flat,625,120000
80,2,1,False,False,True,1,unknown,Los Ángeles,flat,517,95000
69,4,1,False,False,True,3,unknown,San Cristóbal,flat,475,85900
115,4,1,False,False,True,1,unknown,Los Rosales,flat,867,184900
70,3,1,False,False,False,2,unknown,San Cristóbal,flat,715,142500
56,2,1,False,False,True,4,unknown,Los Ángeles,flat,579,109000
90,2,1,False,False,True,4,unknown,San Andrés,flat,705,140000
71,2,1,False,False,True,1,unknown,Los Rosales,flat,625,120000
76,3,1,True,False,True,2,bad,San Cristóbal,flat,583,110000
114,4,2,True,False,True,2,unknown,San Andrés,flat,1197,299000
90,3,2,True,True,True,3,unknown,San Andrés,flat,851,180000
70,3,1,False,False,True,1,unknown,San Cristóbal,flat,471,85000
80,3,1,False,False,True,0,good,San Andrés,flat,539,100000
96,4,2,True,False,True,7,unknown,Los Ángeles,flat,816,170000
50,1,1,True,False,True,2,unknown,Butarque,flat,646,125000
85,3,2,True,True,True,1,unknown,Los Rosales,flat,1009,230000
90,3,2,True,True,True,5,unknown,Butarque,flat,1200,300000
60,3,1,True,False,True,other,unknown,San Cristóbal,flat,625,120000
90,2,2,True,True,True,7,unknown,San Andrés,attic,1038,240000
60,3,1,False,False,True,4,unknown,San Cristóbal,flat,705,140000
105,3,2,False,False,True,2,unknown,Los Ángeles,flat,686,135000
140,3,3,True,True,True,4,good,Butarque,duplex,1299,340000
112,3,2,False,False,True,1,unknown,San Andrés,flat,1009,230000
60,3,1,False,False,True,4,unknown,San Cristóbal,flat,725,145000
62,2,1,False,False,True,2,unknown,Los Rosales,flat,715,142450
81,3,1,True,False,True,3,good,Los Ángeles,flat,780,160000
75,3,1,False,True,True,3,unknown,Los Rosales,flat,851,180000
72,3,1,True,False,True,2,unknown,San Andrés,flat,666,130000
95,2,2,True,True,True,3,unknown,Butarque,flat,1067,250000
49,1,1,True,True,True,2,unknown,San Andrés,flat,884,190000
90,3,1,False,False,True,2,unknown,San Andrés,flat,813,169000
78,2,1,False,False,True,3,unknown,San Andrés,flat,809,168000
100,3,1,False,False,True,3,unknown,San Andrés,flat,948,210000
70,3,1,True,False,True,1,unknown,San Cristóbal,flat,517,95000
56,3,1,False,False,True,1,unknown,San Cristóbal,flat,282,78000
110,3,2,True,True,True,2,bad,San Andrés,flat,881,189000
115,3,3,True,True,True,3,unknown,Butarque,duplex,1052,245000
70,3,1,False,False,True,2,unknown,San Andrés,flat,526,97000
75,3,1,True,False,True,4,unknown,San Cristóbal,flat,762,155000
116,4,2,True,False,True,other,unknown,Los Ángeles,flat,816,170000
48,2,1,True,False,True,4,good,Butarque,flat,625,120000
80,3,1,False,False,True,0,unknown,Los Rosales,flat,646,125000
81,3,1,False,False,True,2,good,Butarque,flat,704,139500
95,4,2,True,False,True,7,unknown,Los Ángeles,flat,910,198000
60,4,1,False,False,True,5,bad,San Cristóbal,flat,271,75000
50,2,1,True,False,True,3,good,San Andrés,flat,638,123000
50,1,1,True,True,True,6,good,San Andrés,flat,736,148000
50,2,1,False,False,True,2,good,San Andrés,flat,705,140000
94,4,1,True,False,True,1,unknown,Los Ángeles,flat,884,190000
80,3,1,False,False,True,1,unknown,Los Ángeles,flat,744,150000
65,2,1,False,False,True,0,unknown,Los Rosales,flat,583,110000
105,3,2,True,True,True,2,unknown,San Andrés,flat,884,190000
100,3,1,True,False,True,0,unknown,Los Ángeles,flat,713,142000
64,3,1,False,False,True,1,unknown,San Andrés,flat,517,95000
85,2,2,True,False,True,2,unknown,Los Rosales,flat,1006,229000
72,3,1,False,False,True,2,good,San Andrés,flat,705,140000
92,3,1,True,False,True,0,unknown,San Andrés,flat,621,119000
106,3,1,True,False,True,1,unknown,San Andrés,flat,725,145000
67,2,1,False,False,True,5,bad,Los Ángeles,flat,604,115000
60,2,1,False,False,True,0,unknown,San Andrés,flat,744,150000
60,2,1,False,False,True,1,unknown,San Andrés,flat,625,120000
60,3,1,False,False,True,1,unknown,San Cristóbal,flat,561,105000
61,3,1,True,False,True,1,unknown,Los Ángeles,flat,574,108000
115,3,1,True,False,True,4,unknown,San Andrés,flat,732,147000
55,2,1,False,False,True,3,unknown,San Andrés,flat,517,95000
65,3,1,True,False,True,other,unknown,Los Rosales,flat,537,99500
118,3,2,True,True,True,0,unknown,San Andrés,duplex,847,179000
80,3,1,False,False,True,3,unknown,San Andrés,flat,539,100000
147,4,2,True,True,True,4,good,Butarque,duplex,1299,340000
81,3,1,False,False,True,2,good,Los Rosales,flat,704,139500
108,4,2,False,False,True,2,unknown,Los Ángeles,flat,766,156000
133,4,2,True,True,True,6,unknown,Los Rosales,flat,1148,280000
90,3,2,True,False,True,5,unknown,San Cristóbal,flat,702,139000
63,2,1,False,False,True,1,unknown,San Cristóbal,flat,548,102000
115,3,1,True,False,True,4,good,San Andrés,flat,736,148000
70,3,1,False,False,True,4,good,San Cristóbal,flat,517,95000
71,3,1,True,False,True,5,good,San Cristóbal,flat,539,100000
70,3,1,False,False,True,5,unknown,San Cristóbal,flat,526,97000
100,3,2,True,False,True,4,unknown,Los Rosales,flat,847,179000
63,3,1,False,False,True,5,unknown,San Cristóbal,flat,621,119000
60,2,1,False,False,True,3,good,San Andrés,flat,517,95000
105,3,2,True,False,True,5,unknown,Los Ángeles,flat,1094,260000
93,2,2,True,True,True,1,unknown,San Andrés,flat,948,210000
80,2,2,True,True,True,1,unknown,Butarque,flat,1067,250000
54,2,1,False,False,True,3,unknown,Los Ángeles,flat,736,148000
64,2,1,False,False,True,0,unknown,San Andrés,flat,535,99000
68,3,1,False,False,True,1,unknown,San Cristóbal,flat,485,88000
100,3,2,True,True,True,5,unknown,Los Rosales,flat,1200,299995
62,2,2,False,False,True,2,unknown,San Andrés,flat,736,148000
78,3,1,True,False,False,1,unknown,San Andrés,flat,654,127000
83,3,1,False,False,True,3,unknown,San Andrés,flat,762,155000
68,3,1,False,False,True,2,unknown,Butarque,flat,526,97000
66,2,1,False,False,True,other,unknown,San Cristóbal,flat,517,95000
65,3,1,False,False,True,3,unknown,San Andrés,flat,583,110000
65,2,1,True,False,True,8,unknown,Los Ángeles,flat,646,125000
70,2,2,False,True,True,0,bad,Los Rosales,flat,904,196000
49,2,1,False,False,True,0,good,San Andrés,flat,625,120000
100,3,2,True,False,True,4,unknown,Los Rosales,flat,948,210000
90,4,2,True,True,True,0,bad,Los Rosales,flat,1009,230000
65,3,1,False,False,True,other,unknown,San Andrés,flat,573,107583
68,2,1,True,False,True,8,unknown,San Cristóbal,flat,625,120000
90,3,1,False,False,True,1,unknown,San Andrés,flat,705,140000
55,2,1,True,False,True,0,unknown,Los Ángeles,flat,686,135000
70,2,1,False,False,True,3,unknown,San Andrés,flat,650,126000
123,4,2,False,True,True,3,bad,San Andrés,flat,979,220000
74,2,2,True,False,True,2,good,Los Rosales,flat,910,198000
